EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 24/10/2023 21:26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: West Nile Fever,,,,,,,,,,,,,,,,,
Region: Europe,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
330057,West Nile Fever,,Europe,Western Europe,Austria,Burgenland,Neusiedl am See,47.78,16.88,OIE,Confirmed,Wild,Imperial Eagle (Aquila Heliaca):Accipitridae-Accipitriformes,17/08/2022,30/08/2022,,
330754,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Gardelegen,52.6,11.39,OIE,Confirmed,Domestic,Equidae,15/08/2022,07/09/2022,,
330757,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Görlitz,51.14,14.97,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),12/08/2022,07/09/2022,,
330756,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Magdeburg,52.16,11.64,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),11/08/2022,07/09/2022,,
329102,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,Vidauban,43.39,6.40576,OIE,Confirmed,Domestic,Equidae,06/08/2022,11/08/2022,,
329574,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Captive,Unspecified Bird,04/08/2022,19/08/2022,,
329574,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.5,13.33,OIE,Confirmed,Wild,Accipitridae (Incognita),04/08/2022,19/08/2022,,
330730,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.425,13.239,OIE,Confirmed,Wild,Corvidae (Incognita),04/08/2022,06/09/2022,,
330731,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.425,13.239,OIE,Confirmed,Wild,Accipitridae (Incognita),04/08/2022,06/09/2022,,
329126,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Dallgow-Döberitz,52.508,13.145,OIE,Confirmed,Domestic,Equidae,22/07/2022,12/08/2022,,
329125,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Bernburg (Saale),51.79,11.73,OIE,Confirmed,Captive,Humboldt Penguin (Spheniscus Humboldti),13/07/2022,12/08/2022,,
326590,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Magdeburg,52.16,11.64,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),05/07/2022,12/07/2022,,
345735,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Schkeuditz,51.38,12.22,OIE,Confirmed,Domestic,Equidae,10/01/2022,17/02/2023,,
321835,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Dallgow-Döberitz,52.53,13.08,OIE,Confirmed,Domestic,Equidae,07/12/2021,12/05/2022,,
321829,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Elsnig,51.62,12.91,OIE,Confirmed,Domestic,Equidae,25/10/2021,12/05/2022,,
321832,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Kloster Lehnin,52.33,12.54,OIE,Confirmed,Domestic,Equidae,07/10/2021,12/05/2022,,
304929,West Nile Fever,,Europe,Western Europe,Germany,Thueringen,Bad Sulza,51.09,11.63,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),01/10/2021,13/10/2021,,
321831,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Lübben (Spreewald),51.92,13.89,OIE,Confirmed,Domestic,Equidae,30/09/2021,12/05/2022,,
304495,West Nile Fever,,Europe,Western Europe,France,Corse,Ventiseri,41.946199,9.384537,OIE,Confirmed,Domestic,Equidae,26/09/2021,05/10/2021,,
321833,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Lübbenau/Spreewald,51.86,13.94,OIE,Confirmed,Domestic,Equidae,26/09/2021,12/05/2022,,
304893,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Stahnsdorf,52.36,13.23,OIE,Confirmed,Domestic,Equidae,23/09/2021,12/10/2021,,
304937,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Magdeburg  Landeshauptstadt,52.1,11.6,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),23/09/2021,13/10/2021,,
304889,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Brieselang,52.57,13,OIE,Confirmed,Domestic,Equidae,21/09/2021,12/10/2021,,
304894,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Brieselang,52.57,13,OIE,Confirmed,Domestic,Equidae,14/09/2021,12/10/2021,,
304897,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Senftenberg,51.48,14.01,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),14/09/2021,12/10/2021,,
322138,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.41,13.51,OIE,Confirmed,Domestic,Equidae,10/09/2021,16/05/2022,,
304895,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Luckau,51.87,13.69,OIE,Confirmed,Domestic,Equidae,07/09/2021,12/10/2021,,
304896,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Stahnsdorf,52.36,13.23,OIE,Confirmed,Domestic,Equidae,06/09/2021,12/10/2021,,
